"id","mac_prefix","vendor_short_name","vendor_full_name"
1,"00:00:00","00:00:00","Officially Xerox, but 0:0:0:0:0:0 is more common"
2,"00:00:01","Xerox","Xerox Corporation"
3,"00:00:02","Xerox","Xerox Corporation"
4,"00:00:03","Xerox","Xerox Corporation"
5,"00:00:04","Xerox","Xerox Corporation"
6,"00:00:05","Xerox","Xerox Corporation"
7,"00:00:06","Xerox","Xerox Corporation"
8,"00:00:07","Xerox","Xerox Corporation"
9,"00:00:08","Xerox","Xerox Corporation"
10,"00:00:09","Xerox","Xerox Corporation"
11,"00:00:0A","OmronTateisi","Omron Tateisi Electronics Co."
12,"00:00:0B","Matrix","Matrix Corporation"
13,"00:00:0C","Cisco","Cisco Systems, Inc"
14,"00:00:0D","Fibronics","Fibronics Ltd."
15,"00:00:0E","Fujitsu","Fujitsu Limited"
16,"00:00:0F","Next","Next, Inc."
17,"00:00:10","Sytek","Sytek Inc."
18,"00:00:11","NormerelSyst","Normerel Systemes"
19,"00:00:12","InformationT","Information Technology Limited"
20,"00:00:13","Camex","Camex"
21,"00:00:14","Netronix","Netronix"
22,"00:00:15","Datapoint","Datapoint Corporation"
23,"00:00:16","DuPontPixel","Du Pont Pixel Systems."
24,"00:00:17","Oracle","Oracle"
25,"00:00:18","WebsterCompu","Webster Computer Corporation"
26,"00:00:19","AppliedDynam","Applied Dynamics International"
27,"00:00:1A","AMD","Advanced Micro Devices"
28,"00:00:1B","Novell","Novell, Inc."
29,"00:00:1C","BellTechnolo","Bell Technologies"
30,"00:00:1D","Cabletron","Cabletron Systems, Inc."
31,"00:00:1E","TelsistIndus","Telsist Industria Electronica"
32,"00:00:1F","Telco","Telco Systems, Inc."
33,"00:00:20","Dataindustri","Dataindustrier Diab Ab"
34,"00:00:21","SuremanCompC","Sureman Comp. & Commun. Corp."
35,"00:00:22","VisualTechno","Visual Technology Inc."
36,"00:00:23","AbbIndustria","Abb Industrial Systems Ab"
37,"00:00:24","ConnectAs","Connect As"
38,"00:00:25","Ramtek","Ramtek Corp."
39,"00:00:26","ShaKen","Sha-Ken Co., Ltd."
40,"00:00:27","JapanRadio","Japan Radio Company"
41,"00:00:28","Prodigy","Prodigy Systems Corporation"
42,"00:00:29","ImcNetworks","Imc Networks Corp."
43,"00:00:2A","TrwSeddInp","Trw - Sedd/Inp"
44,"00:00:2B","CrispAutomat","Crisp Automation, Inc"
45,"00:00:2C","Autotote","Autotote Limited"
46,"00:00:2D","Chromatics","Chromatics Inc"
47,"00:00:2E","SocieteEvira","Societe Evira"
48,"00:00:2F","Timeplex","Timeplex Inc."
49,"00:00:30","VgLaboratory","Vg Laboratory Systems Ltd"
50,"00:00:31","QpsxCommunic","Qpsx Communications, Ltd."
51,"00:00:32","Marconi","Marconi plc"
52,"00:00:33","EganMachiner","Egan Machinery Company"
53,"00:00:34","NetworkResou","Network Resources Corporation"
54,"00:00:35","Spectragraph","Spectragraphics Corporation"
55,"00:00:36","Atari","Atari Corporation"
56,"00:00:37","OxfordMetric","Oxford Metrics Limited"
57,"00:00:38","CssLabs","Css Labs"
58,"00:00:39","Toshiba","Toshiba Corporation"
59,"00:00:3A","Chyron","Chyron Corporation"
60,"00:00:3B","iControls","i Controls, Inc."
61,"00:00:3C","Auspex","Auspex Systems Inc."
62,"00:00:3D","Unisys","Unisys"
63,"00:00:3E","Simpact","Simpact"
64,"00:00:3F","Syntrex","Syntrex, Inc."
65,"00:00:40","Applicon","Applicon, Inc."
66,"00:00:41","Ice","Ice Corporation"
67,"00:00:42","MetierManage","Metier Management Systems Ltd."
68,"00:00:43","MicroTechnol","Micro Technology"
69,"00:00:44","Castelle","Castelle Corporation"
70,"00:00:45","FordAerospac","Ford Aerospace & Comm. Corp."
71,"00:00:46","OlivettiNort","Olivetti North America"
72,"00:00:47","NicoletInstr","Nicolet Instruments Corp."
73,"00:00:48","SeikoEpson","Seiko Epson Corporation"
74,"00:00:49","ApricotCompu","Apricot Computers, Ltd"
75,"00:00:4A","AdcCodenollT","Adc Codenoll Technology Corp."
76,"00:00:4B","IclData","Icl Data Oy"
77,"00:00:4C","NEC","NEC Corporation"
78,"00:00:4D","Dci","Dci Corporation"
79,"00:00:4E","Ampex","Ampex Corporation"
80,"00:00:4F","Logicraft","Logicraft, Inc."
81,"00:00:50","Radisys","Radisys Corporation"
82,"00:00:51","HobElectroni","Hob Electronic Gmbh & Co. Kg"
83,"00:00:52","Intrusioncom","Intrusion.com, Inc."
84,"00:00:53","Compucorp","Compucorp"
85,"00:00:54","SchneiderEle","Schneider Electric"
86,"00:00:55","Commissariat","Commissariat A L`Energie Atom."
87,"00:00:56","DrBStruck","Dr. B. Struck"
